date,stock_symbol,rsi,macd,macd_signal,macd_hist,sma_20,sma_50,sma_200,ema_20,ema_50,bb_high,bb_low,bb_mid,atr,momentum,daily_return,rolling_vol,volume_change,rolling_mean,rolling_std,close,target
2017-01-05,APARINDS.NS,78.42871147602177,9.906856665359783,2.822247771556906,7.084608893802876,514.5885482788086,510.39781066894534,474.58070281982424,520.3050827965709,511.6967597967772,555.1916704228397,473.98542613477747,514.5885482788086,17.44007755471025,0.752685546875,0.0013133339929112253,0.025032101341385983,-0.5529911139320851,514.5885482788086,20.828962173422653,573.8632202148438,0
2017-01-06,APARINDS.NS,59.843189361776155,10.405167813921594,4.338831780029844,6.06633603389175,515.9057632446289,510.89990173339845,475.2902500915527,522.4583305845463,512.9209725329943,558.3481536320744,473.46337285718346,515.9057632446289,19.597295687015993,-30.94903564453125,-0.05393103191548765,0.028348996559642313,0.3991675689107399,515.9057632446289,21.772486874133048,542.9141845703125,1
2017-01-09,APARINDS.NS,62.664809925797684,11.408133954382947,5.752692214900465,5.655441739482482,517.8605575561523,511.66853576660156,476.06112564086914,525.2793854563306,514.4565974037898,563.0940652114012,472.6270499009034,517.8605575561523,19.16840583953061,9.16522216796875,0.01688153013578475,0.028415963859181,-0.7713004484304933,517.8605575561523,23.204299821581756,552.0794067382812,0
2017-01-10,APARINDS.NS,60.86267792095824,11.777834637912065,6.957720699502786,4.820113938409279,519.6648147583007,512.2830889892579,476.77192962646484,527.4902098883169,515.7913599366682,566.7261827768615,472.6034467397399,519.6648147583007,18.419103266134194,-3.58636474609375,-0.006496103100969153,0.028492741698049023,-0.21687883074021685,519.6648147583007,24.141972403277993,548.4930419921875,1
2017-01-11,APARINDS.NS,63.74590700434918,12.667914882428022,8.099759536087834,4.568155346340188,522.1398483276367,513.0012469482422,477.54712112426756,530.3675606206797,517.4349298441763,571.6712540976754,472.60844255759804,522.1398483276367,18.624654320502128,9.2093505859375,0.016790277872054782,0.02848744557465053,0.2766582852286008,522.1398483276367,25.40907503420269,557.702392578125,0
2017-01-12,APARINDS.NS,61.11194142284531,12.821798784163207,9.04416738570291,3.777631398460297,524.7189331054688,513.8557775878907,478.24358505249023,532.4943910172965,518.8178455281363,574.9697251093961,474.4681411015414,524.7189331054688,17.97743893583425,-5.00311279296875,-0.008970936577554434,0.028334558973386464,0.90845793225887,524.7189331054688,25.778112385581622,552.6992797851562,1
2017-01-13,APARINDS.NS,63.68600700071033,13.432007392683204,9.92173538709897,3.510272005584234,527.4529861450195,514.9370031738281,478.94536254882814,535.177687715426,520.4590675210587,579.2560119952777,475.6499602947613,527.4529861450195,17.515607654513676,7.9697265625,0.014419643473387422,0.028392763455428155,-0.6386813570161923,527.4529861450195,26.574391547436296,560.6690063476562,1
2017-01-16,APARINDS.NS,64.90891540176523,14.067835806697872,10.75095547101875,3.316880335679121,530.0453598022461,516.3573840332032,479.6139326477051,537.9765086584509,522.1887239954167,583.7920976062933,476.29862199819894,530.0453598022461,16.893847585261728,3.89630126953125,0.006949378734010692,0.028336552992642417,-0.6001689596910451,530.0453598022461,27.571494741074602,564.5653076171875,1
2017-01-17,APARINDS.NS,67.0541477737748,14.963723882959584,11.593509153406917,3.370214729552668,533.4501953125,517.7919317626953,480.36729125976564,541.1750175529586,524.1248858799407,588.6383751600583,478.26201546494167,533.4501953125,16.474627940784064,6.99554443359375,0.012391027821244016,0.027835384638606363,1.0059362108864072,533.4501953125,28.310938907288513,571.5608520507812,1
2017-01-18,APARINDS.NS,68.58566980839197,15.908346860976394,12.456476694920813,3.4518701660555813,536.9192291259766,519.1308422851563,481.20189666748047,544.5622682529,526.18826878278,593.8075851128176,480.03087313913556,536.9192291259766,16.815908311828142,5.1802978515625,0.009063423138543136,0.02783951563730367,1.078497266389126,536.9192291259766,29.183110864106368,576.7411499023438,1
