date,stock_symbol,rsi,macd,macd_signal,macd_hist,sma_20,sma_50,sma_200,ema_20,ema_50,bb_high,bb_low,bb_mid,atr,momentum,daily_return,rolling_vol,volume_change,rolling_mean,rolling_std,close,target
2017-01-05,3MINDIA.NS,53.39265454043589,-112.65345793855158,-223.6180926433249,110.96463470477332,9932.935400390625,10676.15384765625,11635.901674804687,10093.581828865905,10562.630018605374,10427.2542782388,9438.616522542448,9932.935400390625,287.2960717925304,268.435546875,0.026733742706472663,0.016347215682720666,-0.36210762331838564,9932.935400390625,253.58023384962695,10309.51171875,1
2017-01-06,3MINDIA.NS,57.9314788853075,-69.03501653152125,-192.70147742096418,123.66646088944293,9948.0107421875,10643.7808984375,11638.609487304688,10132.5142328132,10560.266961809575,10490.16979108226,9405.85169329274,9948.0107421875,296.071677892413,192.8603515625,0.018707030635771282,0.01683138228509155,0.4586994727592266,9948.0107421875,278.12172377655077,10502.3720703125,1
2017-01-09,3MINDIA.NS,61.769968396942325,-19.345211376790758,-158.0302242121295,138.68501283533874,9980.79296875,10615.13603515625,11642.005224609375,10185.323517188133,10565.23734443469,10611.247222492433,9350.338715007567,9980.79296875,296.4234714524022,184.6396484375,0.01758075672822801,0.01662002528496756,-0.1578313253012048,9980.79296875,323.4162081598684,10687.01171875,1
2017-01-10,3MINDIA.NS,64.8078138805278,32.74520862123791,-119.87513764545602,152.62034626669393,10021.680615234374,10590.2396875,11646.568012695312,10248.551169569026,10576.373678660291,10757.277577081655,9286.083653387093,10021.680615234374,301.2657361808416,162.2021484375,0.015177502627130357,0.016806922286971046,0.3876967095851216,10021.680615234374,377.35327935745926,10849.2138671875,1
2017-01-11,3MINDIA.NS,75.01085110279239,134.91981548369586,-68.91614701962565,203.83596250332153,10103.82763671875,10577.81244140625,11654.607602539063,10379.462590919593,10617.422596899105,11117.083887516219,9090.571385921281,10103.82763671875,356.83083038429737,773.9072265625,0.07133302339104164,0.022379916818595188,2.629896907216495,10103.82763671875,519.7894892165842,11623.12109375,1
2017-01-12,3MINDIA.NS,75.62834001482437,218.44334682341287,-11.444248251017953,229.8875950744308,10199.914404296875,10568.9283984375,11662.892216796876,10503.887284641536,10659.32452937365,11411.232191155486,8988.596617438263,10199.914404296875,350.493651334831,62.80078125,0.005403091023784334,0.02129274321553714,-0.5609201931269525,10199.914404296875,621.3929134063173,11685.921875,0
2017-01-13,3MINDIA.NS,72.40331168593026,273.00713353959145,45.44602810710393,227.56110543248752,10286.80625,10558.8394140625,11670.60966796875,10606.45075381258,10695.460967866351,11625.827812900054,8947.784687099946,10286.80625,339.56262411431754,-105.1181640625,-0.008995282116970316,0.02168025790901348,-0.5459249676584734,10286.80625,686.9035682553422,11580.8037109375,0
2017-01-16,3MINDIA.NS,72.10773459440793,311.8968602142104,98.73619452852523,213.16066568568516,10377.83681640625,10553.64255859375,11678.302734375,10698.352672348286,10729.81233769267,11803.466838782027,8952.206794030473,10377.83681640625,339.55513796227314,-9.3828125,-0.0008102039145295725,0.02139431287796026,-0.4245014245014245,10377.83681640625,731.3327705201108,11571.4208984375,1
2017-01-17,3MINDIA.NS,73.186223854165,345.6593398820569,148.12082359923158,197.5385162828253,10468.48193359375,10548.5405078125,11687.009345703125,10789.677343434163,10766.182901655704,11975.14075086759,8961.82311631991,10468.48193359375,323.56273054927567,85.8408203125,0.007418347415233173,0.021395641202854213,-0.18811881188118806,10468.48193359375,772.8996652505901,11657.26171875,0
2017-01-18,3MINDIA.NS,65.77975121449347,349.65628393228144,188.42791566584157,161.22836826643987,10556.672119140625,10539.27185546875,11694.419072265626,10850.198586023767,10792.024763968226,12070.495160343882,9042.849077937368,10556.672119140625,325.99867373499535,-232.111328125,-0.019911307966232195,0.02148614954630964,-0.03353658536585369,10556.672119140625,776.5748345811265,11425.150390625,0
