date,stock_symbol,rsi,macd,macd_signal,macd_hist,sma_20,sma_50,sma_200,ema_20,ema_50,bb_high,bb_low,bb_mid,atr,momentum,daily_return,rolling_vol,volume_change,rolling_mean,rolling_std,close,target
2018-09-04,5PAISA.NS,31.166587331142694,-8.350671849109744,-3.198515875884185,-5.152155973225559,213.64212646484376,204.52726257324218,208.55721076965332,203.1364534857569,209.74694671274102,255.84632836105249,171.43792456863503,213.64212646484376,14.343834297806433,-10.431060791015625,-0.05598171792898843,0.033826907685009566,-0.04574926085377873,213.64212646484376,21.65029875627069,175.89871215820312,0
2018-09-05,5PAISA.NS,30.880829769850095,-9.472148612057197,-4.4532424231187875,-5.018906188938409,210.98418197631835,203.79131011962892,208.27742713928222,200.47287110625402,208.39094246914243,255.77080251577308,166.19756143686362,210.98418197631835,13.920983253515573,-0.7298736572265625,-0.004149397390528442,0.033333284600973956,-0.24514866554329506,210.98418197631835,22.975051568266434,175.16883850097656,1
2018-09-06,5PAISA.NS,36.54582810177122,-9.71641843191071,-5.505877624877172,-4.210540807033539,208.4782943725586,203.1484161376953,208.0884211730957,198.69146258804307,207.34690871211876,253.91026310386218,163.046325641255,208.4782943725586,13.6043638616629,6.599243164062472,0.03767361375765299,0.03465672788586855,-0.5042125729099157,208.4782943725586,23.30610820546354,181.76808166503903,0
2018-09-07,5PAISA.NS,36.14883285657879,-9.862570835127087,-6.377216266927156,-3.4853545681999316,205.5603340148926,202.62047668457032,207.95020195007325,197.00151145661113,206.31161722176145,250.18688185306974,160.93378617671544,205.5603340148926,13.0084203126016,-0.8211059570312216,-0.004517327517073899,0.03317367334429601,0.09905591866376184,205.5603340148926,22.892936005131133,180.9469757080078,0
2018-09-10,5PAISA.NS,34.748639136546146,-10.090298885020957,-7.119832790545916,-2.970466094475041,202.98145904541016,202.24276885986328,207.8498447418213,195.20315118814295,205.2060137478765,247.69193268078703,158.2709854100333,202.98145904541016,13.730143777996128,-2.8282470703125,-0.01563025333386292,0.03257818774471493,-0.037927844588344084,202.98145904541016,22.93598903068535,178.1187286376953,0
2018-09-11,5PAISA.NS,33.07239075877558,-10.427862889141636,-7.78143881026506,-2.646424078876576,199.94489517211915,201.83829925537108,207.78172355651856,193.24878119263903,204.009004041503,243.67068174926266,156.21910859497564,199.94489517211915,13.318544806618615,-3.43646240234375,-0.019293099769052025,0.03141394543469277,0.28585164835164845,199.94489517211915,22.430855228022423,174.68226623535156,0
2018-09-12,5PAISA.NS,32.25676222500937,-10.706928657333123,-8.366536779678672,-2.340391877654451,197.05734634399414,201.4654571533203,207.75222465515137,191.3212442747389,202.79334284594162,239.87991555710335,154.23477713088494,197.05734634399414,13.10360715790367,-1.6726226806640625,-0.009575228881050335,0.03140369638050989,-0.605704518747997,197.05734634399414,21.967514496659124,173.0096435546875,1
2018-09-14,5PAISA.NS,35.585025088627646,-10.543975475415067,-8.802024518825952,-1.7419509565891147,194.31425018310546,201.15222106933595,207.78370025634766,189.88718685404203,201.75296239541143,235.03305496104525,153.59544540516566,194.31425018310546,12.841027377651624,3.253997802734375,0.0188081874274586,0.03207723899030634,3.6632348956922245,194.31425018310546,20.888306112473884,176.26364135742188,0
2018-09-17,5PAISA.NS,33.812719528029504,-10.553298581063473,-9.152279331273457,-1.401019249790016,191.3643585205078,200.94420806884764,207.84148162841797,188.2826980413989,200.6269660003478,229.16802682908076,153.56069021193485,191.3643585205078,12.558102649016352,-3.2235870361328125,-0.018288440039634257,0.03184512548603218,-0.2787590053451081,191.3643585205078,19.392872657001714,173.04005432128906,1
2018-09-18,5PAISA.NS,34.50863689647737,-10.389391748360453,-9.399701814690857,-0.9896899336695952,188.30042419433593,200.93204376220703,207.94275115966798,186.89184067352386,199.5701710857738,221.07316827616944,155.52768011250242,188.30042419433593,12.219358823151904,0.638641357421875,0.0036907140368558355,0.031513882002794,-0.522313516996939,188.30042419433593,16.812062983194014,173.67869567871094,0
2018-09-19,5PAISA.NS,31.440251156604006,-10.581677738749391,-9.636096999502564,-0.945580739246827,185.09051589965821,200.91075592041017,208.0548166656494,185.10921350186385,198.33895870480598,212.02345221858923,158.1575795807272,185.09051589965821,11.985183386495406,-5.5044403076171875,-0.03169323840271043,0.031731535402894764,1.8082630691399664,185.09051589965821,13.816304810655616,168.17425537109375,0
2018-09-21,5PAISA.NS,27.01047325193818,-11.363790738648163,-9.981635747331683,-1.3821549913164795,181.7863327026367,200.53183166503905,208.1925796508789,182.5985041337548,196.7863236629202,204.25095051248962,159.3217148927838,181.7863327026367,12.667039837892498,-9.427490234375,-0.056057868153316814,0.03281396958411808,1.4532516663664206,181.7863327026367,11.52410578038784,158.74676513671875,0
2018-09-24,5PAISA.NS,24.24541130766798,-12.412306896183509,-10.46776997710205,-1.9445369190814592,179.251554107666,199.83358917236328,208.32304389953615,179.65206892561076,195.01670055646227,203.2482238449566,155.2548843703754,179.251554107666,13.217647657786339,-7.0858306884765625,-0.04463606349631111,0.027296006855826588,0.13163949674450492,179.251554107666,12.310031836298547,151.6609344482422,0
2018-09-25,5PAISA.NS,22.03511128408735,-13.606647607753075,-11.095545503232255,-2.5111021045208197,176.6301040649414,198.84096588134764,208.47950984954835,176.37223001612182,193.06364407879616,203.3212849626094,149.9389231672734,176.6301040649414,13.396574663117448,-6.447174072265625,-0.042510446712735184,0.02797175235688222,-0.6330031147257311,176.6301040649414,13.692286896298084,145.21376037597656,1
2018-09-26,5PAISA.NS,26.26903436464211,-14.086502920076782,-11.693736986601161,-2.392765933475621,173.92958450317383,197.72913055419923,208.62639625549318,173.7638992021794,191.3350602509895,200.33181656034787,147.52735244599978,173.92958450317383,13.260780250099016,3.77099609375,0.02596858647545819,0.02788480247663396,-0.5635056285731126,173.92958450317383,13.544059268694635,148.98475646972656,0
