date,stock_symbol,rsi,macd,macd_signal,macd_hist,sma_20,sma_50,sma_200,ema_20,ema_50,bb_high,bb_low,bb_mid,atr,momentum,daily_return,rolling_vol,volume_change,rolling_mean,rolling_std,close,target
2017-01-05,ACL.NS,55.13308587324361,0.07128484187046524,-1.3478093196267573,1.4190941614972226,146.0,151.06,158.45,147.5560354008226,150.82932417148112,154.5556998544836,137.4443001455164,146.0,8.552941765034438,2.0,0.01333333333333342,0.02235904333826701,-0.4644395604395605,146.0,4.388981418819138,152.0,0
2017-01-06,ACL.NS,51.17847639369292,0.14637454226112823,-1.0489725472491802,1.1953470895103084,145.85,150.58,158.455,147.69355583883947,150.75758596867794,154.07860863086893,137.62139136913106,145.85,8.299160210389122,-3.0,-0.019736842105263164,0.022801185832814774,0.03315824031516734,145.85,4.221187161526291,149.0,0
2017-01-09,ACL.NS,51.17847639369292,0.20353741815398507,-0.7984705541685472,1.0020079723225321,145.85,150.06,158.455,147.81797909228334,150.6886610287298,154.07860863086893,137.62139136913106,145.85,8.063505909647041,0.0,0.0,0.02235904333826701,-0.7586590403558945,145.85,4.221187161526291,149.0,0
2017-01-10,ACL.NS,49.79762159161349,0.1662315526209852,-0.6055301328106407,0.7717616854316259,145.9,149.52,158.445,147.8353144168278,150.58322334132865,154.1680106434384,137.6319893565616,145.9,7.773255487529395,-1.0,-0.006711409395973145,0.022193007240973842,1.1329822251481239,145.9,4.2413999674887215,148.0,1
2017-01-11,ACL.NS,57.25055259923432,0.6137414123587064,-0.3616758237767713,0.9754172361354777,146.35,149.12,158.47,148.42242732951087,150.71721458284517,155.32273648337065,137.37726351662934,146.35,7.932308666991581,6.0,0.04054054054054057,0.023628721949127313,5.941975308641975,146.35,4.602916695451482,154.0,1
2017-01-12,ACL.NS,60.41493430956907,1.1966765855166557,-0.05000534191808595,1.2466819274347416,146.85,148.82,158.5,149.2393390124146,150.96359832469437,156.95494928240666,136.74505071759333,146.85,7.794286619349326,3.0,0.01948051948051943,0.023795556414874096,-0.48608394095678464,146.85,5.183729606333824,157.0,0
2017-01-13,ACL.NS,58.85115038021204,1.559982757244228,0.27199227791437686,1.2879904793298511,147.5,148.54,158.52,149.88321148742276,151.16110427274558,158.18644000591456,136.81355999408544,147.5,7.666123289395803,-1.0,-0.006369426751592355,0.022813013733331118,-0.834328229085561,147.5,5.48202805346254,156.0,1
2017-01-16,ACL.NS,61.02406972729426,1.986390923045093,0.61487200694052,1.3715189161045729,148.2,148.46,158.55,150.65623896481105,151.42929626204966,159.68216007552633,136.71783992447365,148.2,7.4756859115818175,2.0,0.012820512820512775,0.02288222689063907,1.4417754569190602,148.2,5.890223836333237,158.0,1
2017-01-17,ACL.NS,62.10167718159168,2.377606541002507,0.9674189137529174,1.4101876272495895,149.05,148.3,158.615,151.4508828729243,151.7261866047144,161.07455820394296,137.02544179605707,149.05,7.227422632183116,1.0,0.006329113924050667,0.02245117413390177,0.8939264328485885,149.05,6.168468205316701,159.0,1
2017-01-18,ACL.NS,73.25165008937708,3.7738283893622793,1.52870080887479,2.2451275804874893,150.65,148.34,158.755,153.5031797421696,152.56045379668637,166.01587127370303,135.28412872629698,150.65,8.354035301312894,14.0,0.08805031446540879,0.028749980501916725,6.114385727190605,150.65,7.882525643873223,173.0,1
2017-01-19,ACL.NS,75.97072482263077,5.223588203440585,2.267678287787949,2.9559099156526356,152.55,148.62,158.825,155.83621024291537,153.55808305956143,171.22056506911383,133.8794349308862,152.55,8.614461351219116,5.0,0.028901734104046284,0.028706642825214162,-0.3797635108324736,152.55,9.577797791054016,178.0,1
2017-01-20,ACL.NS,79.1640948149431,6.858316397337376,3.1858059096978346,3.672510487639541,154.6,149.04,158.94,158.6137140293044,154.79109941016685,177.57302766289226,131.62697233710773,154.6,9.070571254703465,7.0,0.0393258426966292,0.02912200186813198,0.09222580480065501,154.6,11.784914531990438,185.0,0
2017-01-23,ACL.NS,71.82195823887169,7.662068499138684,4.0810584275860045,3.5810100715526794,156.65,149.48,159.04,160.65050316937064,155.77968374702306,180.96686657445846,132.33313342554155,156.65,9.208387593653217,-5.0,-0.027027027027026973,0.02850256454952985,-0.6950705215313246,156.65,12.474289347968726,180.0,1
2017-01-24,ACL.NS,73.90690279764199,8.523560105972933,4.96955876326339,3.554001342709543,158.8,150.24,159.175,162.87426477228772,156.88636281576726,184.75072253329407,132.84927746670596,158.8,9.2649313369637,4.0,0.022222222222222143,0.028570834993372658,0.12985017287744904,158.8,13.312439770064058,184.0,0
2017-01-25,ACL.NS,71.07514475167496,8.941839169948793,5.764014844600471,3.177824325348322,160.55,151.04,159.305,164.6957633654032,157.87121133279598,187.77113149742343,133.3288685025766,160.55,9.246007670037724,-2.0,-0.010869565217391353,0.02823411134461363,-0.3921795307718463,160.55,13.964145817809879,182.0,0
