date,stock_symbol,rsi,macd,macd_signal,macd_hist,sma_20,sma_50,sma_200,ema_20,ema_50,bb_high,bb_low,bb_mid,atr,momentum,daily_return,rolling_vol,volume_change,rolling_mean,rolling_std,close,target
2025-12-09,AJAXENGG.NS,49.520368596921195,-1.3172959682424334,0.011997621644195877,-1.3292935898866294,626.2349914550781,623.5339953613282,645.641999206543,621.6892116480777,628.3024183828178,673.634696403016,578.8352865071402,626.2349914550781,19.711330722056864,16.5,0.027286257097595135,0.02971752473806131,1.3732673941153783,626.2349914550781,24.315535585903937,621.2000122070312,0
2025-12-10,AJAXENGG.NS,41.09162161521621,-3.398463111723686,-0.6700945250293806,-2.7283685866943053,627.1274932861328,622.5199951171875,645.6334991455078,619.0235736060733,626.945461277885,671.258217290904,582.9967692813616,627.1274932861328,21.839092813338517,-27.5,-0.04426915560142475,0.031449301958214194,1.417995335321557,627.1274932861328,22.638583745369935,593.7000122070312,1
2025-12-11,AJAXENGG.NS,43.555902248846955,-4.467772096929707,-1.4296300394094459,-3.038142057520261,628.3999938964844,620.8749951171875,645.595749206543,617.2356142150187,625.8985804434581,667.6159362262781,589.1840515666906,628.3999938964844,21.58987451389246,6.54998779296875,0.011032487212893516,0.03149874768645914,-0.7989690110333214,628.3999938964844,20.11735394349411,600.25,1
2025-12-12,AJAXENGG.NS,44.265072850611155,-5.107058610142531,-2.165115753556063,-2.9419428565864676,627.1999938964843,619.8559948730468,645.6024990844727,615.7941248217729,624.9653018215945,668.0584117390166,586.341576053952,627.1999938964843,21.540599506761748,1.8499755859375,0.003082008473032083,0.024035905885922422,0.07588539515859427,627.1999938964843,20.95992610344394,602.0999755859375,1
2025-12-15,AJAXENGG.NS,46.81307782566154,-5.027212996197818,-2.7375352020844144,-2.2896777941134037,624.0774963378906,618.9539953613281,645.6432492065429,615.1137343067529,624.3254870212991,660.3237228956186,587.8312697801625,624.0774963378906,20.841270970564477,6.550048828125,0.010878673133561945,0.017072695963420922,-0.5645013890919726,624.0774963378906,18.593921896501477,608.6500244140625,0
2025-12-16,AJAXENGG.NS,44.648465848727966,-5.421896602970833,-3.274407482261698,-2.1474891207091344,621.0599975585938,617.9539953613281,645.6387493896484,613.8838560115414,623.4578213423082,653.8786825835746,588.2413125336129,621.0599975585938,20.313323916026388,-6.45001220703125,-0.010597242994018763,0.017026452827743555,0.1772359088429094,621.0599975585938,16.835630189765777,602.2000122070312,0
2025-12-17,AJAXENGG.NS,42.25094214936754,-6.255661363202535,-3.8706582584498657,-2.385003104752669,617.8374969482422,617.0129943847656,645.5972491455078,612.0711054948172,622.3359450381367,647.5100722623338,588.1649216341507,617.8374969482422,20.040943636310214,-7.35003662109375,-0.01220530799087205,0.017110815305456266,0.10203208556149734,617.8374969482422,15.221709961437147,594.8499755859375,0
2025-12-18,AJAXENGG.NS,40.48320197653496,-7.280340342729573,-4.552594675305808,-2.7277456674237657,614.7949951171875,616.1679943847656,645.5359991455078,609.9024276184506,621.0404173030322,643.034904035492,586.5550861988829,614.7949951171875,19.23801821892868,-5.54998779296875,-0.00933006307599138,0.017016431430519445,-0.16045548654244302,614.7949951171875,14.48676760751844,589.2999877929688,1
2025-12-19,AJAXENGG.NS,42.91622747074473,-7.581381248709704,-5.158351989986587,-2.4230292587231173,612.404995727539,615.373994140625,645.5039990234375,608.4402904922142,620.0015769300885,638.9523259505378,585.8576655045403,612.404995727539,19.853162390511898,5.25,0.008908875120907656,0.01718985879677534,1.8808569667077681,612.404995727539,13.61849305722636,594.5499877929688,1
2025-12-22,AJAXENGG.NS,44.72397030412375,-7.419728942601296,-5.610627380509529,-1.809101562091767,611.2849975585938,614.7499938964844,645.5209991455079,607.4888354174349,619.1564175291843,638.2001965068639,584.3697986103236,611.2849975585938,19.931508805977565,3.9000244140625,0.006559624075579862,0.015818960077899093,-0.04500829276122198,611.2849975585938,13.807205731495106,598.4500122070312,1
