date,Close,High,Low,Open,Volume
,ALKEM.NS,ALKEM.NS,ALKEM.NS,ALKEM.NS,ALKEM.NS
2016-03-15,1227.221923828125,1239.5286179815437,1217.1324052486789,1225.231193547429,30214
2016-03-16,1227.2674560546875,1235.185310609879,1216.1824596774195,1235.185310609879,22480
2016-03-17,1222.380859375,1257.5361078494557,1209.4860690127036,1235.1851820725938,46550
2016-03-18,1253.1876220703125,1262.3476622462288,1208.8460404875398,1235.0043915838555,105456
2016-03-21,1230.72021484375,1265.0815347934279,1225.889527591614,1264.0333542092837,27507
2016-03-22,1241.840087890625,1248.675904888188,1222.1529571896517,1233.1813863603784,67466
2016-03-23,1235.7337646484375,1245.8962593397555,1229.5359112515187,1232.2702387042648,61753
2016-03-28,1264.4442138671875,1269.639391568429,1232.7259706362527,1239.5617893273964,92882
2016-03-29,1285.4525146484375,1292.425069893878,1226.664491370472,1271.0061776918285,226373
2016-03-30,1249.678466796875,1295.159458054455,1244.2098132090307,1292.425131260533,68085
2016-03-31,1236.3260498046875,1258.7020061486471,1230.4472905870193,1255.0562363987597,57439
2016-04-01,1209.985107421875,1216.7753071412349,1157.5315655950324,1168.468871726639,288351
2016-04-04,1235.1412353515625,1248.2660286389835,1183.0522780527735,1215.8642056412941,168161
2016-04-05,1215.3172607421875,1244.893520714697,1207.7067393153372,1231.3586239689732,28090
2016-04-06,1197.0882568359375,1234.092789421837,1193.0778887394276,1214.0410601993258,40140
2016-04-07,1219.327880859375,1223.0647730408004,1200.4609534271776,1211.2160199591592,74984
2016-04-08,1222.1529541015625,1236.3258145513398,1212.3093331459272,1218.1425858877838,20874
2016-04-11,1211.80810546875,1232.2699397723434,1207.1141555615436,1232.2699397723434,21031
2016-04-12,1215.773193359375,1224.0216813664483,1210.5779042663407,1214.952872843625,9640
2016-04-13,1220.421142578125,1230.4470070802604,1216.7753736682575,1216.957617609736,14050
2016-04-18,1163.729736328125,1173.0264045877327,1126.907439992706,1153.8861136037835,319467
2016-04-20,1160.3570556640625,1182.0494247729016,1143.8599739098793,1167.5574713773349,66906
2016-04-21,1132.0570068359375,1179.7709912487762,1102.2983920794893,1178.4949497163307,294279
2016-04-22,1124.537841796875,1143.8147623630928,1094.870342841652,1134.1991103953253,32915
2016-04-25,1118.066162109375,1137.4343098965558,1112.8709857951826,1124.8564736190224,34850
2016-04-26,1113.600341796875,1121.0741247914625,1098.3336819673978,1117.4283552799454,42982
2016-04-27,1104.1668701171875,1121.0741714343064,1088.2622444654974,1119.251286602706,177077
2016-04-28,1086.5302734375,1111.7772902737177,1084.6162669830671,1111.7772902737177,74937
2016-04-29,1085.482421875,1101.8883871924545,1076.4136133285474,1087.3509235401837,42594
2016-05-02,1138.664794921875,1169.1981088888951,1050.4371446862922,1050.4371446862922,174739
2016-05-03,1119.7069091796875,1148.235098785315,1113.0533356264107,1148.235098785315,29703
2016-05-04,1116.9268798828125,1135.6570629450318,1107.402352711247,1107.402352711247,24464
2016-05-05,1132.512451171875,1139.3026504646346,1107.4021762516247,1107.4021762516247,42144
2016-05-06,1134.92822265625,1146.3212545704032,1125.6315531183318,1130.6444871605593,27750
2016-05-09,1137.2520751953125,1142.037147040454,1123.2614588143829,1131.0998399658447,30809
2016-05-10,1118.567626953125,1137.8446549578825,1116.5168816602795,1137.4800557649216,18824
2016-05-11,1097.8323974609375,1135.6572579795168,1093.7309065613324,1120.1627368032314,54988
2016-05-12,1090.85986328125,1111.777534058668,1085.5279472533032,1107.2203218535742,42346
2016-05-13,1081.380859375,1101.022488841387,1077.324984942483,1077.324984942483,27977
2016-05-16,1088.8546142578125,1102.8452319315454,1084.662001743802,1089.173596824956,24827
2016-05-17,1087.122802734375,1099.564012374625,1079.1476826137077,1088.262105608756,26891
2016-05-18,1112.68896484375,1117.3372989922393,1084.61649345042,1084.61649345042,43608
2016-05-19,1118.38525390625,1125.631175267315,1102.8451190878147,1111.959541559615,25302
2016-05-20,1123.9449462890625,1130.188302968779,1112.0050759855117,1112.0050759855117,42457
2016-05-23,1141.7637939453125,1146.5944829322757,1126.54275111629,1132.9228476031944,94824
2016-05-24,1117.245849609375,1140.9433458834324,1108.450410471036,1139.302705483524,41053
2016-05-25,1125.35791015625,1137.4801388321232,1112.0508730917966,1121.5298965007432,34310
2016-05-26,1147.232421875,1153.0201697068323,1116.7447202914868,1122.896956049061,66294
2016-05-27,1138.30029296875,1152.9744915178776,1131.19099863561,1152.9744915178776,92226
2016-05-30,1163.729736328125,1176.7632962897294,1094.6423557963224,1111.9597619246572,85318
2016-05-31,1151.51611328125,1162.0888206920094,1134.7455543227857,1155.7087252058573,22541
2016-06-01,1173.9833984375,1177.5835513233594,1146.5945104990606,1152.0631647621722,69058
2016-06-02,1190.298095703125,1197.3162685731695,1164.9144484388685,1164.9144484388685,72275
